NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,REKOMENDASI_MATERI
0.0,66.67,66.67,66.67,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
0.0,33.33,33.33,33.33,33.33,33.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
0.0,0.0,33.33,0.0,0.0,33.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
0.0,33.33,0.0,66.67,66.67,33.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
0.0,0.0,33.33,66.67,33.33,66.67,Materi 1: Perkalian sebagai Penjumlahan Berulang
0.0,0.0,0.0,33.33,0.0,0.0,Materi 1: Perkalian sebagai Penjumlahan Berulang
33.33,33.33,33.33,33.33,0.0,33.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
0.0,33.33,0.0,100.0,66.67,33.33,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,33.33,0.0,66.67,33.33,33.33,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,0.0,0.0,100.0,33.33,66.67,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,66.67,33.33,100.0,66.67,66.67,Materi 3: Perkalian dengan 1 dan 0
0.0,66.67,33.33,66.67,100.0,100.0,Materi 3: Perkalian dengan 1 dan 0
33.33,66.67,0.0,100.0,33.33,66.67,Materi 2: Sifat Komutatif (Sifat Pertukaran)
0.0,66.67,66.67,66.67,66.67,33.33,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,66.67,66.67,100.0,66.67,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,66.67,66.67,100.0,100.0,66.67,Materi 4: Perkalian dengan 2 dan 5
0.0,33.33,33.33,66.67,33.33,100.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,66.67,66.67,100.0,66.67,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,33.33,100.0,100.0,33.33,100.0,Materi 4: Perkalian dengan 2 dan 5
0.0,0.0,0.0,66.67,66.67,100.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,33.33,33.33,66.67,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
33.33,33.33,66.67,66.67,66.67,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,66.67,66.67,66.67,33.33,33.33,Materi 3: Perkalian dengan 1 dan 0
0.0,0.0,33.33,66.67,33.33,66.67,Materi 1: Perkalian sebagai Penjumlahan Berulang
33.33,33.33,66.67,100.0,100.0,100.0,Materi 4: Perkalian dengan 2 dan 5
0.0,33.33,100.0,66.67,100.0,100.0,Materi 4: Perkalian dengan 2 dan 5
0.0,66.67,33.33,0.0,33.33,66.67,Materi 1: Perkalian sebagai Penjumlahan Berulang
33.33,66.67,100.0,66.67,100.0,100.0,Materi 5: Perkalian dengan 10
0.0,66.67,66.67,66.67,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
0.0,0.0,0.0,66.67,100.0,33.33,Materi 1: Perkalian sebagai Penjumlahan Berulang
33.33,0.0,66.67,66.67,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
0.0,0.0,66.67,66.67,33.33,100.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,0.0,0.0,100.0,100.0,100.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
0.0,33.33,33.33,66.67,100.0,66.67,Materi 2: Sifat Komutatif (Sifat Pertukaran)
0.0,66.67,100.0,66.67,100.0,66.67,Materi 4: Perkalian dengan 2 dan 5
0.0,66.67,100.0,100.0,66.67,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,33.33,33.33,66.67,66.67,100.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,66.67,66.67,66.67,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
0.0,66.67,66.67,100.0,100.0,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,33.33,33.33,66.67,66.67,66.67,Materi 2: Sifat Komutatif (Sifat Pertukaran)
0.0,33.33,33.33,66.67,66.67,100.0,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,66.67,66.67,0.0,0.0,0.0,Materi 1: Perkalian sebagai Penjumlahan Berulang
0.0,66.67,66.67,100.0,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
33.33,33.33,66.67,66.67,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
0.0,66.67,0.0,66.67,66.67,66.67,Materi 2: Sifat Komutatif (Sifat Pertukaran)
33.33,66.67,33.33,100.0,66.67,100.0,Materi 3: Perkalian dengan 1 dan 0
33.33,100.0,66.67,100.0,100.0,100.0,Materi 5: Perkalian dengan 10
33.33,33.33,66.67,66.67,100.0,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,66.67,100.0,100.0,100.0,100.0,Materi 5: Perkalian dengan 10
0.0,100.0,66.67,100.0,33.33,100.0,Materi 4: Perkalian dengan 2 dan 5
33.33,100.0,100.0,100.0,100.0,100.0,Materi 5: Perkalian dengan 10
66.67,66.67,0.0,66.67,33.33,33.33,"Materi 6: Perkalian dengan 3, 4, 6, 7, 8, dan 9"
