NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,REKOMENDASI_MATERI
0.0,33.33,33.33,100.0,0.0,0.0,Materi 1: Perkalian dengan 0 dan 10
66.67,0.0,66.67,66.67,33.33,66.67,Materi 2: Perkalian Bersusun
66.67,66.67,33.33,33.33,0.0,66.67,Materi 2: Perkalian Bersusun
33.33,33.33,66.67,0.0,33.33,33.33,Materi 1: Perkalian dengan 0 dan 10
66.67,66.67,66.67,0.0,33.33,66.67,Materi 2: Perkalian Bersusun
33.33,33.33,0.0,33.33,33.33,0.0,Materi 1: Perkalian dengan 0 dan 10
66.67,33.33,100.0,0.0,0.0,33.33,Materi 1: Perkalian dengan 0 dan 10
33.33,33.33,33.33,0.0,33.33,0.0,Materi 1: Perkalian dengan 0 dan 10
0.0,33.33,66.67,0.0,0.0,33.33,Materi 1: Perkalian dengan 0 dan 10
66.67,33.33,33.33,66.67,33.33,0.0,Materi 1: Perkalian dengan 0 dan 10
0.0,0.0,0.0,33.33,33.33,0.0,Materi 1: Perkalian dengan 0 dan 10
0.0,33.33,33.33,33.33,33.33,33.33,Materi 1: Perkalian dengan 0 dan 10
100.0,66.67,33.33,66.67,33.33,66.67,Materi 3: Pembagian dengan 1 dan 0
66.67,66.67,66.67,33.33,33.33,0.0,Materi 2: Perkalian Bersusun
33.33,0.0,33.33,33.33,0.0,0.0,Materi 1: Perkalian dengan 0 dan 10
33.33,0.0,0.0,0.0,0.0,33.33,Materi 1: Perkalian dengan 0 dan 10
33.33,33.33,66.67,0.0,0.0,0.0,Materi 1: Perkalian dengan 0 dan 10
66.67,100.0,33.33,66.67,33.33,100.0,Materi 4: Pembagian Bersusun Dasar (Porogapit)
100.0,66.67,100.0,66.67,33.33,66.67,Materi 4: Pembagian Bersusun Dasar (Porogapit)
66.67,0.0,0.0,0.0,0.0,100.0,Materi 1: Perkalian dengan 0 dan 10
100.0,100.0,100.0,100.0,33.33,66.67,Materi 5: Operasi Hitung Campuran Sederhana
100.0,0.0,66.67,100.0,0.0,33.33,Materi 2: Perkalian Bersusun
66.67,0.0,33.33,33.33,33.33,33.33,Materi 1: Perkalian dengan 0 dan 10
66.67,33.33,0.0,0.0,66.67,0.0,Materi 1: Perkalian dengan 0 dan 10
100.0,0.0,66.67,66.67,0.0,33.33,Materi 2: Perkalian Bersusun
100.0,66.67,66.67,0.0,33.33,33.33,Materi 2: Perkalian Bersusun
66.67,33.33,66.67,0.0,33.33,0.0,Materi 1: Perkalian dengan 0 dan 10
100.0,66.67,66.67,0.0,33.33,33.33,Materi 2: Perkalian Bersusun
66.67,100.0,100.0,66.67,0.0,66.67,Materi 4: Pembagian Bersusun Dasar (Porogapit)
33.33,33.33,33.33,66.67,0.0,33.33,Materi 1: Perkalian dengan 0 dan 10
100.0,33.33,66.67,66.67,66.67,66.67,Materi 4: Pembagian Bersusun Dasar (Porogapit)
66.67,33.33,33.33,66.67,33.33,66.67,Materi 2: Perkalian Bersusun
100.0,33.33,66.67,66.67,33.33,33.33,Materi 3: Pembagian dengan 1 dan 0
0.0,0.0,0.0,0.0,33.33,0.0,Materi 1: Perkalian dengan 0 dan 10
100.0,66.67,100.0,100.0,100.0,100.0,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
100.0,100.0,33.33,33.33,66.67,100.0,Materi 5: Operasi Hitung Campuran Sederhana
66.67,33.33,0.0,33.33,33.33,66.67,Materi 2: Perkalian Bersusun
100.0,33.33,0.0,0.0,66.67,33.33,Materi 2: Perkalian Bersusun
100.0,100.0,66.67,66.67,100.0,66.67,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
100.0,0.0,66.67,33.33,66.67,100.0,Materi 4: Pembagian Bersusun Dasar (Porogapit)
66.67,0.0,0.0,0.0,0.0,66.67,Materi 1: Perkalian dengan 0 dan 10
66.67,0.0,66.67,0.0,0.0,0.0,Materi 1: Perkalian dengan 0 dan 10
100.0,100.0,66.67,100.0,66.67,100.0,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
100.0,66.67,33.33,66.67,66.67,66.67,Materi 4: Pembagian Bersusun Dasar (Porogapit)
100.0,33.33,0.0,33.33,0.0,33.33,Materi 1: Perkalian dengan 0 dan 10
66.67,100.0,66.67,66.67,66.67,100.0,Materi 5: Operasi Hitung Campuran Sederhana
66.67,66.67,66.67,66.67,33.33,66.67,Materi 4: Pembagian Bersusun Dasar (Porogapit)
100.0,100.0,33.33,66.67,33.33,66.67,Materi 4: Pembagian Bersusun Dasar (Porogapit)
100.0,100.0,100.0,33.33,100.0,33.33,Materi 5: Operasi Hitung Campuran Sederhana
100.0,66.67,100.0,0.0,33.33,33.33,Materi 3: Pembagian dengan 1 dan 0
100.0,100.0,100.0,100.0,66.67,100.0,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
100.0,0.0,0.0,33.33,33.33,66.67,Materi 2: Perkalian Bersusun
