NAMA,KELAS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,TOTAL_NILAI,REKOMENDASI_MATERI
Siswa_Gen_1,Kelas 3,B,A,C,A,D,B,C,A,C,B,D,A,B,B,D,D,A,B,C,D,A,B,C,B,25.0,50.0,25.0,50.0,100.0,75.0,54.17,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_2,Kelas 3,A,D,C,D,A,D,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,75.0,75.0,100.0,100.0,100.0,100.0,91.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_3,Kelas 3,A,A,C,D,C,B,C,D,B,B,C,D,A,C,C,D,D,D,C,D,A,B,A,D,75.0,75.0,75.0,75.0,50.0,75.0,70.83,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_4,Kelas 3,A,A,C,D,A,D,C,D,B,A,C,D,B,C,B,C,B,B,C,D,B,B,C,D,75.0,75.0,50.0,0.0,75.0,75.0,58.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_5,Kelas 3,A,B,A,D,A,B,C,D,A,B,C,B,A,B,C,D,A,B,C,D,A,B,C,D,75.0,100.0,75.0,100.0,100.0,100.0,91.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_6,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,A,C,D,D,C,A,D,100.0,100.0,100.0,100.0,75.0,25.0,83.33,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_7,Kelas 3,A,D,C,C,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,50.0,100.0,100.0,100.0,100.0,100.0,91.67,Materi 1: Perkalian dengan 0 dan 10
Siswa_Gen_8,Kelas 3,D,B,C,D,D,D,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,75.0,50.0,100.0,100.0,100.0,100.0,87.5,Materi 2: Perkalian Bersusun
Siswa_Gen_9,Kelas 3,A,B,D,D,B,B,B,D,B,C,C,B,C,B,C,D,A,C,C,D,C,C,D,D,75.0,50.0,25.0,75.0,75.0,25.0,54.17,Materi 3: Pembagian dengan 1 dan 0
Siswa_Gen_10,Kelas 3,B,B,C,C,A,A,B,D,D,B,B,A,D,A,A,A,D,D,C,D,C,C,C,C,50.0,50.0,25.0,0.0,50.0,25.0,33.33,Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_Gen_11,Kelas 3,C,B,C,D,A,C,C,D,A,C,C,D,A,B,C,D,C,B,C,B,A,B,C,D,75.0,75.0,75.0,100.0,50.0,100.0,79.17,Materi 5: Operasi Hitung Campuran Sederhana
Siswa_Gen_12,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,C,A,B,A,D,B,B,C,D,D,A,D,A,100.0,100.0,75.0,75.0,75.0,0.0,70.83,Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_Gen_13,Kelas 3,A,B,C,D,A,B,C,D,A,B,C,D,A,D,C,D,A,B,C,D,A,B,C,D,100.0,100.0,100.0,75.0,100.0,100.0,95.83,Materi 4: Pembagian Bersusun Dasar (Porogapit)
